Vehicle,Make,Model,Suffix,Sales,Powertrain,Combined_Type,Weight_Lowest,Weight_Highest,Class,Subclass,Subclass_Add,Refund_Federal,Refund_State,Fueltype,Battery_Power,Battery_Capacity,Fuelcell_Power,CD_Gasoline,Lightweighting,MSRP_Lowest,MSRP_Highest,Trim1_Name,Trim1_Style,Trim1_MSRP,Trim1_MPG_City,Trim1_MPG_Highway,Trim1_MPG_City_CD,Trim1_MPG_Highway_CD,Trim1_Transmission,Trim1_Cylinders,Trim1_HP
Ford Focus,Ford,Focus,,217670,ICEV,ICEV,2935,3055,Sedan/Hatchback,Compact,,,,,,,,,,16810,24065,S,4dr Sedan,16810,26,36,,,5-spd manual w/overdrive,4,160
GMC Sierra,GMC,Sierra,,211833,ICEV,ICEV,4567,5414,Pickup,,,,,,,,,,,26075,51765,Base,4x2 Regular Cab 6.6 ft. box 119 in. WB,26075,18,24,,,6-spd automatic w/overdrive,6,285
GMC Sierra,GMC,Sierra,,211833,ICEV,ICEV,4567,5414,Pickup,,,,,,,,,,,26075,51765,SLT,4x4 Double Cab 6.6 ft. box 143.5 in. WB,42650,16,22,,,6-spd automatic w/overdrive,8,355
Nissan Rogue,Nissan,Rogue,,199199,ICEV,ICEV,3393,3605,SUV,Mid-size,,,,,,,,,,22790,29630,S,4dr Front-wheel Drive,22790,26,33,,,Xtronic 2-spd CVT w/overdrive,4,170
Nissan Rogue,Nissan,Rogue,,199199,ICEV,ICEV,3393,3605,SUV,Mid-size,,,,,,,,,,22790,29630,S,4dr All-wheel Drive,24140,25,32,,,Xtronic 2-spd CVT w/overdrive,4,170
Hyundai Sonata,Hyundai,Sonata,,195884,ICEV,ICEV,3245,3527,Sedan/Hatchback,Mid-size,,,,,,,,,,21450,28650,GLS,4dr Sedan,21450,24,35,,,6-spd automatic w/overdrive,4,190
Hyundai Sonata,Hyundai,Sonata,,195884,ICEV,ICEV,3245,3527,Sedan/Hatchback,Mid-size,,,,,,,,,,21450,28650,SE 2.0T,4dr Sedan,25850,21,32,,,6-spd automatic w/overdrive,4,274
Ford Explorer,Ford,Explorer,,189339,ICEV,ICEV,4534,4697,SUV,Mid-size,,,,,,,,,,30015,41675,Base,4dr Front-wheel Drive,30015,17,24,,,6-spd automatic w/overdrive,6,290
Ford Explorer,Ford,Explorer,,189339,ICEV,ICEV,4534,4697,SUV,Mid-size,,,,,,,,,,30015,41675,Sport,4dr 4x4,41675,16,22,,,6-spd automatic w/overdrive,6,365
Chevrolet Malibu,Chevrolet,Malibu,,188519,ICEV,ICEV,3393,,Sedan/Hatchback,Mid-size,,,,,,,,,,22340,29950,LS w/1LS,4dr Sedan,22340,25,36,,,6-spd automatic w/overdrive,4,196
Chevrolet Malibu,Chevrolet,Malibu,,188519,ICEV,ICEV,3393,,Sedan/Hatchback,Mid-size,,,,,,,,,,22340,29950,LT w/3LT,4dr Sedan,26850,21,30,,,6-spd automatic w/overdrive,4,259
Jeep Grand Cherokee,Jeep,Grand Cherokee,,183786,ICEV,ICEV,4545,5150,SUV,Mid-size,,,,,,,,,,29495,64380,Laredo,4dr 4x2,29495,17,25,,,8-spd automatic w/overdrive,6,290
Jeep Grand Cherokee,Jeep,Grand Cherokee,,183786,ICEV,ICEV,4545,5150,SUV,Mid-size,,,,,,,,,,29495,64380,SRT,4dr 4x4,64380,13,19,,,8-spd automatic w/overdrive,8,470
Nissan Sentra,Nissan,Sentra,,183268,ICEV,ICEV,2832,2862,Sedan/Hatchback,Mid-size,,,,,,,,,,15990,19640,FE+ S,4dr Sedan,17240,30,40,,,Xtronic 2-spd CVT w/overdrive,4,130
Nissan Sentra,Nissan,Sentra,,183268,ICEV,ICEV,2832,2862,Sedan/Hatchback,Mid-size,,,,,,,,,,15990,19640,S,4dr Sedan,15990,27,36,,,6-spd manual w/overdrive,4,130
Jeep Cherokee,Jeep,Cherokee,,178508,ICEV,ICEV,3679,4016,SUV,Mid-size,,,,,,,,,,22995,30095,Sport,4dr Front-wheel Drive,22995,22,31,,,9-spd automatic w/overdrive,4,184
Jeep Cherokee,Jeep,Cherokee,,178508,ICEV,ICEV,3679,4016,SUV,Mid-size,,,,,,,,,,22995,30095,Trailhawk,4dr 4x4,29595,19,25,,,9-spd automatic w/overdrive,4,184
Jeep Wrangler,Jeep,Wrangler,,175328,ICEV,ICEV,3879,4921,SUV,Compact,,,,,,,,,,22395,31195,Sport,2dr 4x4,22395,17,21,,,6-spd manual w/overdrive,6,285
Subaru Forester,Subaru,Forester,,159953,ICEV,ICEV,3285,3651,SUV,Compact,,,,,,,,,,21995,32995,2.5i Limited,4dr All-wheel Drive,27995,24,32,,,Lineartronic 6-spd CVT w/overdrive,4,170
Subaru Forester,Subaru,Forester,,159953,ICEV,ICEV,3285,3651,SUV,Compact,,,,,,,,,,21995,32995,2.5i,4dr All-wheel Drive,21995,22,29,,,6-spd manual w/overdrive,4,170
Toyota Tacoma,Toyota,Tacoma,,155041,ICEV,ICEV,3325,4285,Pickup,,,,,,,,,,,18125,28385,Base,4x2 Regular Cab 109.6 in. WB,18125,21,25,,,5-spd manual w/overdrive,4,159
Toyota Tacoma,Toyota,Tacoma,,155041,ICEV,ICEV,3325,4285,Pickup,,,,,,,,,,,18125,28385,Base V6,4x4 Access Cab 127.4 in. WB,26005,16,19,,,6-spd manual w/overdrive,6,236
Toyota Highlander,Toyota,Highlander,,146127,ICEV,ICEV,4134,4509,SUV,Mid-size,,,,,,,,,,29215,43590,LE,4dr Front-wheel Drive,29215,20,25,,,6-spd automatic w/overdrive,4,185
Toyota Highlander,Toyota,Highlander,,146127,ICEV,ICEV,4134,4509,SUV,Mid-size,,,,,,,,,,29215,43590,LE V6,4dr All-wheel Drive,31980,18,24,,,6-spd automatic w/overdrive,6,270
Kia Soul,Kia,Soul,,145316,ICEV,ICEV,2714,2879,Sedan/Hatchback,Compact,,,,,,,,,,14900,20500,Base,4dr Hatchback,14900,24,30,,,6-spd manual w/overdrive,4,130
Kia Optima,Kia,Optima,,145244,ICEV,ICEV,3237,3468,Sedan/Hatchback,Mid-size,,,,,,,,,,21500,35300,LX,4dr Sedan,21500,23,34,,,6-spd automatic w/overdrive,4,192
Kia Optima,Kia,Optima,,145244,ICEV,ICEV,3237,3468,Sedan/Hatchback,Mid-size,,,,,,,,,,21500,35300,SX Turbo,4dr Sedan,27500,20,31,,,6-spd automatic w/overdrive,4,274
BMW 3-Series/4-Series,BMW,3-Series/4-Series,,142232,ICEV,ICEV,3295,4125,Sedan/Hatchback,Compact,Executive,,,Gasoline_Premium,,,,,,32750,54900,i,4dr Rear-wheel Drive Sedan,32750,24,36,,,8-spd automatic w/overdrive,4,180
BMW 3-Series/4-Series,BMW,3-Series/4-Series,,142232,ICEV,ICEV,3295,4125,Sedan/Hatchback,Compact,Executive,,,Gasoline_Premium,,,,,,32750,54900,i,2dr Rear-wheel Drive Convertible,54900,20,30,,,8-spd automatic w/overdrive,6,300
Chevrolet Impala,Chevrolet,Impala,,140280,ICEV,ICEV,3679,3785,Sedan/Hatchback,Full-size,,,,,,,,,,26860,35905,LS ECO,4dr Sedan,29135,25,35,,,6-spd automatic w/overdrive,4,182
Chevrolet Impala,Chevrolet,Impala,,140280,ICEV,ICEV,3679,3785,Sedan/Hatchback,Full-size,,,,,,,,,,26860,35905,LT w/2LT,4dr Sedan,30085,19,29,,,6-spd automatic w/overdrive,6,305
